date2,rile_d,rile_r,diff,smooth_rile_d,smooth_rile_r,smooth_diff,nom_dem,nom_rep,diff_nom,rile_group_mean,num_primaries,group,group2,wealth,south_rep,south_dem,per_south_rep
1904,,,,,,,-.37723121,.44292524,.82015646,,,0,0,,,,
1908,,,,,,,-.35414746,.42377272,.77792019,,,0,0,,,,
1912,,,,,,,-.30403072,.40442857,.70845926,,13,0,0,44,8,114,.065573767
1916,,,,,,,-.30179095,.4098852,.71167612,,20,0,0,42.700001,13,124,.094890513
1920,-9.9169998,13.869,23.785999,-9.9169998,13.869,23.785999,-.30449718,.39925131,.70374846,14.115,20,1,0,35.599998,15,125,.10714286
1924,-8.8240004,-4.9619999,3.8620005,-9.5890999,8.2196999,17.8088,-.27828071,.39533976,.67362046,14.115,17,1,0,36.799999,9,127,.066176474
1928,-13.091,-4.848,8.243,-10.639669,4.2993898,14.939059,-.28260368,.37535483,.65795851,14.115,17,1,0,51.400002,12,119,.091603056
1932,-1.075,-7.1789999,6.1040001,-7.7702684,.85587293,8.6261415,-.24449226,.33129299,.57578528,14.115,16,1,0,47,11,127,.079710148
1936,-15.646,1.036,16.681999,-10.132988,.90991104,11.042899,-.25074467,.30632728,.55707192,14.115,14,1,0,45.200001,3,126,.023255814
1940,-15.891,14.948,30.839001,-11.860392,5.1213379,16.98173,-.24958,.30401009,.55359006,14.115,13,1,0,37.900002,5,131,.036764707
1944,-10.092,-.80299997,9.2889996,-11.329874,3.3440366,14.67391,-.25592428,.29840505,.55432934,14.115,14,1,0,34.5,8,125,.060150377
1948,-18.905001,6.6669998,25.572001,-13.602412,4.3409257,17.943338,-.26916111,.27479821,.54395932,22.945333,14,2,0,29.9,12,121,.090225562
1952,-23,19.5,42.5,-16.421688,8.888648,25.310337,-.24130628,.27945125,.52075756,22.945333,15,2,0,29.700001,6,125,.045801528
1956,-15.3,-5.3000002,10,-16.085182,4.6320534,20.717236,-.27394882,.26820159,.54215038,22.945333,19,2,0,29.4,10,116,.079365082
1960,-19.1,-9.5,9.6000004,-16.989628,.39243737,17.382065,-.27797639,.26358795,.54156435,22.945333,16,2,0,29.4,11,117,.0859375
1964,-20.1,20.799999,40.900002,-17.922739,6.5147061,24.437445,-.30020431,.2521534,.55235767,22.945333,17,2,0,28.5,16,110,.12698413
1968,-7.5,1.6,9.1000004,-14.795918,5.0402942,19.836212,-.3058669,.25515983,.56102669,22.945333,15,2,0,28.6,30,96,.23809524
1972,-21,.69999999,21.700001,-16.657143,3.7382059,20.395348,-.3239142,.26386249,.58777666,30.460833,22,3,1,26.5,31,97,.2421875
1976,-19.799999,6.5999999,26.4,-17.6,4.5967441,22.196745,-.30893335,.26742163,.57635498,30.460833,30,3,1,23.5,31,97,.2421875
1980,-21.200001,22.4,43.599998,-18.68,9.9377203,28.617722,-.30017066,.30878487,.6089555,30.460833,35,3,1,24.299999,35,92,.27559054
1984,-14.1,33.599998,47.699997,-17.306,17.036404,34.342403,-.3089079,.33068353,.63959146,30.460833,30,3,1,24.799999,39,95,.29104477
1988,-7,29.4,36.400002,-14.2142,20.745483,34.959682,-.30964175,.33716741,.64680916,30.460833,38,3,1,27.9,45,91,.33088234
1992,12.5,30.415001,17.915001,-6.1999402,23.646339,29.846279,-.32702509,.36435112,.69137621,30.460833,40,3,1,29.200001,46,89,.34074074
1996,8.7840004,24.216999,15.432999,-1.704758,23.817537,25.522295,-.36452326,.39631468,.76083791,30.460833,38,3,1,30.299999,78,67,.53793103
2000,-3.596,33.313999,36.91,-2.2721307,26.666475,28.938606,-.36137879,.40344802,.76482677,30.460833,41,3,1,34.099998,84,59,.5874126
2004,8.3610001,25.903,17.542,.91780853,26.437433,25.519625,-.3728871,.41533333,.78822041,30.460833,35,3,1,33.5,88,61,.59060401
2008,11.14,25.124001,13.984,3.9844661,26.043404,22.058937,-.34004545,.44514978,.78519523,30.460833,37,3,1,38.099998,89,61,.5933333
2012,-6.4419999,27.957001,34.399002,.85652626,26.617483,25.760958,-.37135878,.48206294,.85342169,30.460833,40,3,1,41.799999,105,41,.71917808
2016,-20.577999,32.969002,53.547001,-5.5738316,28.522938,34.096771,-.38080242,.49010819,.87091064,30.460833,39,3,1,38.5,116,38,.75324672
